particle_id,x,y,vx,vy,release_time,mass,diameter,density,charge,source_part_id,material_id,source_event_tag,stick_probability
24,0.03544774267541548,0.0248822775759655,0.0,0.0,0.00092,1e-15,1e-06,1200.0,0.0,5,2,,0.0
25,0.039374448558053,0.0011457819725070467,0.0,0.0,0.0009600000000000001,1e-15,1e-06,1200.0,0.0,6,1,,0.0
26,0.09561482091671462,0.016948186519927813,0.0,0.0,0.001,1e-15,1e-06,1200.0,0.0,7,2,,0.0
27,0.04772957851364587,0.007763894212051145,0.0,0.0,0.0010400000000000001,1e-15,1e-06,1200.0,0.0,8,1,,0.0
28,0.08210246628348326,0.059152657043378944,0.0,0.0,0.00108,1e-15,1e-06,1200.0,0.0,9,2,,0.0
29,0.027256873836527383,0.009166111717706666,0.0,0.0,0.0011200000000000001,1e-15,1e-06,1200.0,0.0,1,1,,0.0
30,0.0648150252771407,-0.029004950433361116,0.0,0.0,0.00116,1e-15,1e-06,1200.0,0.0,2,2,,0.0
31,0.09155725937961558,0.04352323557016739,0.0,0.0,0.0012000000000000001,1e-15,1e-06,1200.0,0.0,5,1,,0.0
32,0.09215666998358109,-0.0269828884533336,0.0,0.0,0.00124,1e-15,1e-06,1200.0,0.0,6,2,,0.0
33,0.08785913892588428,0.024611509772742502,0.0,0.0,0.00128,1e-15,1e-06,1200.0,0.0,7,1,,0.0
34,0.05494602096278426,0.0007915181076689512,0.0,0.0,0.0013200000000000002,1e-15,1e-06,1200.0,0.0,8,2,,0.0
35,0.058126623447296584,-0.006505574597944113,0.0,0.0,0.00136,1e-15,1e-06,1200.0,0.0,9,1,,0.0
36,0.07653050092688507,0.02944707179980215,0.0,0.0,0.0014000000000000002,1e-15,1e-06,1200.0,0.0,1,2,,0.0
37,0.09179780661910446,-0.023344545276235383,0.0,0.0,0.00144,1e-15,1e-06,1200.0,0.0,2,1,,0.0
38,0.08181461728545941,0.03338804998660061,0.0,0.0,0.0014800000000000002,1e-15,1e-06,1200.0,0.0,5,2,,0.0
39,0.06732290889545828,0.05976571575423992,0.0,0.0,0.00152,1e-15,1e-06,1200.0,0.0,6,1,,0.0
40,0.05219449613761076,0.0043772200616162315,0.0,0.0,0.0015600000000000002,1e-15,1e-06,1200.0,0.0,7,2,,0.0
41,0.0020268908863285994,0.012262238838709276,0.0,0.0,0.0016,1e-15,1e-06,1200.0,0.0,8,1,,0.0
42,0.0818009371570465,-0.01181074447836154,0.0,0.0,0.0016400000000000002,1e-15,1e-06,1200.0,0.0,9,2,,0.0
43,0.06237747099094877,0.004093281813634307,0.0,0.0,0.00168,1e-15,1e-06,1200.0,0.0,1,1,,0.0
44,0.06696396506777036,-0.03118092835403743,0.0,0.0,0.0017200000000000002,1e-15,1e-06,1200.0,0.0,2,2,,0.0
45,0.05645656074015373,0.044029286295184156,0.0,0.0,0.00176,1e-15,1e-06,1200.0,0.0,5,1,,0.0
46,0.07676259366349536,0.019529170127903114,0.0,0.0,0.0018000000000000002,1e-15,1e-06,1200.0,0.0,6,2,,0.0
47,0.08404657991967088,-0.02869567794553073,0.0,0.0,0.00184,1e-15,1e-06,1200.0,0.0,7,1,,0.0
48,0.0018191001812336502,0.019120281407850548,0.0,0.0,0.0018800000000000002,1e-15,1e-06,1200.0,0.0,8,2,,0.0
49,0.013538449753879004,0.011305452287336159,0.0,0.0,0.0019200000000000003,1e-15,1e-06,1200.0,0.0,9,1,,0.0
50,0.09850481392290486,0.0398221273641052,0.0,0.0,0.0019600000000000004,1e-15,1e-06,1200.0,0.0,1,2,,0.0
51,0.04805192561255589,0.012987135910572578,0.0,0.0,0.002,1e-15,1e-06,1200.0,0.0,2,1,,0.0
52,0.08247080667885427,-0.029351536824598623,0.0,0.0,0.00204,1e-15,1e-06,1200.0,0.0,5,2,,0.0
53,0.06934436826112232,0.05365248687913972,0.0,0.0,0.0020800000000000003,1e-15,1e-06,1200.0,0.0,6,1,,0.0
54,0.054807532250832555,0.015302538448179,0.0,0.0,0.0021200000000000004,1e-15,1e-06,1200.0,0.0,7,2,,0.0
55,0.07147125081917653,0.061144420737775,0.0,0.0,0.00216,1e-15,1e-06,1200.0,0.0,8,1,,0.0
56,0.07861469880073385,0.03117662485197297,0.0,0.0,0.0022,1e-15,1e-06,1200.0,0.0,9,2,,0.0
57,0.06205302423250439,-0.007893689613888213,0.0,0.0,0.0022400000000000002,1e-15,1e-06,1200.0,0.0,1,1,,0.0
58,0.06617579002008775,0.06055113452062702,0.0,0.0,0.0022800000000000003,1e-15,1e-06,1200.0,0.0,2,2,,0.0
59,0.05673203772321137,-0.02916915530234702,0.0,0.0,0.00232,1e-15,1e-06,1200.0,0.0,5,1,,0.0
60,0.012363421407078171,0.002228713209114704,0.0,0.0,0.00236,1e-15,1e-06,1200.0,0.0,6,2,,0.0
61,0.09967434685472298,0.05495128176372192,0.0,0.0,0.0024000000000000002,1e-15,1e-06,1200.0,0.0,7,1,,0.0
62,0.07702614556136181,0.029948577810802304,0.0,0.0,0.0024400000000000003,1e-15,1e-06,1200.0,0.0,8,2,,0.0
63,0.06363534970989321,0.051337992204708846,0.0,0.0,0.00248,1e-15,1e-06,1200.0,0.0,9,1,,0.0
64,0.0037733602490469796,0.021640397553791275,0.0,0.0,0.00252,1e-15,1e-06,1200.0,0.0,1,2,,0.0
65,0.08815949921400353,-0.02364976675975055,0.0,0.0,0.00256,1e-15,1e-06,1200.0,0.0,2,1,,0.0
66,0.1012000477150047,0.03597103366576247,0.0,0.0,0.0026000000000000003,1e-15,1e-06,1200.0,0.0,5,2,,0.0
67,0.054450514378543854,0.014341197921674436,0.0,0.0,0.0026400000000000004,1e-15,1e-06,1200.0,0.0,6,1,,0.0
68,0.07652108174136746,0.04319015833885439,0.0,0.0,0.00268,1e-15,1e-06,1200.0,0.0,7,2,,0.0
69,0.05926537045607108,0.019683895673956613,0.0,0.0,0.00272,1e-15,1e-06,1200.0,0.0,8,1,,0.0
70,0.08094036361478488,0.0019715983070418804,0.0,0.0,0.0027600000000000003,1e-15,1e-06,1200.0,0.0,9,2,,0.0
71,0.08743248511024243,0.05446961670403491,0.0,0.0,0.0028000000000000004,1e-15,1e-06,1200.0,0.0,1,1,,0.0
72,0.07729219981823847,-0.02116671248857137,0.0,0.0,0.00284,1e-15,1e-06,1200.0,0.0,2,2,,0.0
73,0.06168752079649174,0.05634585075484928,0.0,0.0,0.00288,1e-15,1e-06,1200.0,0.0,5,1,,0.0
74,0.06510604525977182,0.05182683772478183,0.0,0.0,0.0029200000000000003,1e-15,1e-06,1200.0,0.0,6,2,,0.0
75,0.020738153424610713,0.008083040711262446,0.0,0.0,0.0029600000000000004,1e-15,1e-06,1200.0,0.0,7,1,,0.0
76,0.02621372480668076,0.0035158926486220116,0.0,0.0,0.003,1e-15,1e-06,1200.0,0.0,8,2,,0.0
77,0.06432570278952925,0.01485760929149625,0.0,0.0,0.00304,1e-15,1e-06,1200.0,0.0,9,1,,0.0
78,0.013755190377907846,0.008693216108708135,0.0,0.0,0.0030800000000000003,1e-15,1e-06,1200.0,0.0,1,2,,0.0
79,0.09966509939694303,0.0012388472277525347,0.0,0.0,0.0031200000000000004,1e-15,1e-06,1200.0,0.0,2,1,,0.0
80,0.06568647599319719,0.009942024352850147,0.0,0.0,0.00316,1e-15,1e-06,1200.0,0.0,5,2,,0.0
81,0.06351913373997088,0.05454307936055003,0.0,0.0,0.0032,1e-15,1e-06,1200.0,0.0,6,1,,0.0
82,0.09796350469321768,-0.02365411051904769,0.0,0.0,0.0032400000000000003,1e-15,1e-06,1200.0,0.0,7,2,,0.0
83,0.08338115051404273,0.05935479441966154,0.0,0.0,0.0032800000000000004,1e-15,1e-06,1200.0,0.0,8,1,,0.0
84,0.09491165987351208,0.04499730667507872,0.0,0.0,0.0033200000000000005,1e-15,1e-06,1200.0,0.0,9,2,,0.0
85,0.007946122774529217,0.022997630460430473,0.0,0.0,0.00336,1e-15,1e-06,1200.0,0.0,1,1,,0.0
86,0.07734493944332277,0.062126447979221656,0.0,0.0,0.0034000000000000002,1e-15,1e-06,1200.0,0.0,2,2,,0.0
87,0.08357504773208552,0.035663494574843,0.0,0.0,0.0034400000000000003,1e-15,1e-06,1200.0,0.0,5,1,,0.0
88,0.05268116801212404,0.004217228165532143,0.0,0.0,0.0034800000000000005,1e-15,1e-06,1200.0,0.0,6,2,,0.0
89,0.0845638170628674,-0.0005515206408721392,0.0,0.0,0.00352,1e-15,1e-06,1200.0,0.0,7,1,,0.0
90,0.0142344988382338,0.01648190926615189,0.0,0.0,0.0035600000000000002,1e-15,1e-06,1200.0,0.0,8,2,,0.0
91,0.10004043806316149,-0.03043172851634303,0.0,0.0,0.0036000000000000003,1e-15,1e-06,1200.0,0.0,9,1,,0.0
92,0.06382846798427266,0.03144548278637373,0.0,0.0,0.0036400000000000004,1e-15,1e-06,1200.0,0.0,1,2,,0.0
93,0.09098434739187397,0.04890235588783734,0.0,0.0,0.00368,1e-15,1e-06,1200.0,0.0,2,1,,0.0
94,0.08093435285063431,0.03444207271733904,0.0,0.0,0.00372,1e-15,1e-06,1200.0,0.0,5,2,,0.0
95,0.021404956234101085,0.005676588045742719,0.0,0.0,0.0037600000000000003,1e-15,1e-06,1200.0,0.0,6,1,,0.0
96,0.06622455930099197,-0.017133961043272562,0.0,0.0,0.0038000000000000004,1e-15,1e-06,1200.0,0.0,7,2,,0.0
97,0.03867534764972847,0.007831938252200538,0.0,0.0,0.0038400000000000005,1e-15,1e-06,1200.0,0.0,8,1,,0.0
98,0.07931445004711175,0.028760046746256686,0.0,0.0,0.00388,1e-15,1e-06,1200.0,0.0,9,2,,0.0
99,0.0718309017400456,-0.03330916168784149,0.0,0.0,0.003920000000000001,1e-15,1e-06,1200.0,0.0,1,1,,0.0
100,0.06284677899301802,0.03184946674782906,0.0,0.0,0.00396,1e-15,1e-06,1200.0,0.0,2,2,,0.0
101,0.09495180877901853,-0.007804616929569403,0.0,0.0,0.004,1e-15,1e-06,1200.0,0.0,5,1,,0.0
102,0.10010876960651262,0.002134876988406679,0.0,0.0,0.00404,1e-15,1e-06,1200.0,0.0,6,2,,0.0
103,0.09160512081087513,0.02789860610037279,0.0,0.0,0.00408,1e-15,1e-06,1200.0,0.0,7,1,,0.0
104,0.035120337308821616,0.019124956227005944,0.0,0.0,0.00412,1e-15,1e-06,1200.0,0.0,8,2,,0.0
105,0.014482201955216184,0.009603385532811549,0.0,0.0,0.0041600000000000005,1e-15,1e-06,1200.0,0.0,9,1,,0.0
106,0.08780891476603264,0.015673623248636782,0.0,0.0,0.004200000000000001,1e-15,1e-06,1200.0,0.0,1,2,,0.0
107,0.09990675004206147,0.021491500017322595,0.0,0.0,0.004240000000000001,1e-15,1e-06,1200.0,0.0,2,1,,0.0
108,0.0883133053592401,-0.02029527817391414,0.0,0.0,0.00428,1e-15,1e-06,1200.0,0.0,5,2,,0.0
109,0.06610144475317739,0.03158519556479575,0.0,0.0,0.00432,1e-15,1e-06,1200.0,0.0,6,1,,0.0
110,0.09138715583137716,0.034363070507344357,0.0,0.0,0.00436,1e-15,1e-06,1200.0,0.0,7,2,,0.0
111,0.06715681944336596,-0.03461561481700804,0.0,0.0,0.0044,1e-15,1e-06,1200.0,0.0,8,1,,0.0
112,0.07300683274581736,0.038142060684164175,0.0,0.0,0.00444,1e-15,1e-06,1200.0,0.0,9,2,,0.0
113,0.05617684854341846,0.005298584991578636,0.0,0.0,0.0044800000000000005,1e-15,1e-06,1200.0,0.0,1,1,,0.0
114,0.08613278613245855,0.034027981452248494,0.0,0.0,0.004520000000000001,1e-15,1e-06,1200.0,0.0,2,2,,0.0
115,0.09621840741378866,0.020926888376489452,0.0,0.0,0.004560000000000001,1e-15,1e-06,1200.0,0.0,5,1,,0.0
116,0.10007894093789131,0.026736110775368825,0.0,0.0,0.004600000000000001,1e-15,1e-06,1200.0,0.0,6,2,,0.0
117,0.033376836382579,0.022865682386160883,0.0,0.0,0.00464,1e-15,1e-06,1200.0,0.0,7,1,,0.0
118,0.03504365741359811,0.009336394929070315,0.0,0.0,0.00468,1e-15,1e-06,1200.0,0.0,8,2,,0.0
119,0.07619154304375748,0.014225115734953884,0.0,0.0,0.00472,1e-15,1e-06,1200.0,0.0,9,1,,0.0
120,0.07397986393548152,-0.029331428779815583,0.0,0.0,0.00476,1e-15,1e-06,1200.0,0.0,1,2,,0.0
121,0.008648667560128383,0.02145206567406101,0.0,0.0,0.0048000000000000004,1e-15,1e-06,1200.0,0.0,2,1,,0.0
122,0.08866912402916571,0.033777043687762576,0.0,0.0,0.0048400000000000006,1e-15,1e-06,1200.0,0.0,5,2,,0.0
123,0.07533157450627503,-0.0010738789168475362,0.0,0.0,0.004880000000000001,1e-15,1e-06,1200.0,0.0,6,1,,0.0
124,0.08686287671574244,-0.009994367433996995,0.0,0.0,0.004920000000000001,1e-15,1e-06,1200.0,0.0,7,2,,0.0
125,0.08795130001909943,0.028465696070725865,0.0,0.0,0.00496,1e-15,1e-06,1200.0,0.0,8,1,,0.0
126,0.08829222576281048,0.03866040098153101,0.0,0.0,0.005,1e-15,1e-06,1200.0,0.0,9,2,,0.0
127,0.07100549047248897,-0.025412478626612493,0.0,0.0,0.00504,1e-15,1e-06,1200.0,0.0,1,1,,0.0
128,0.09528679229057561,-0.036823473821387884,0.0,0.0,0.00508,1e-15,1e-06,1200.0,0.0,2,2,,0.0
129,0.07680413302660631,-0.03471689950816228,0.0,0.0,0.00512,1e-15,1e-06,1200.0,0.0,5,1,,0.0
130,0.10031294451891647,-0.03700008683484893,0.0,0.0,0.0051600000000000005,1e-15,1e-06,1200.0,0.0,6,2,,0.0
131,0.003008051603464606,0.012270443206726692,0.0,0.0,0.005200000000000001,1e-15,1e-06,1200.0,0.0,7,1,,0.0
132,0.07923915070364136,-0.031848427331186695,0.0,0.0,0.005240000000000001,1e-15,1e-06,1200.0,0.0,8,2,,0.0
133,0.08099222102586125,0.018010047068318717,0.0,0.0,0.005280000000000001,1e-15,1e-06,1200.0,0.0,9,1,,0.0
134,0.03334826850991992,0.015515234845324393,0.0,0.0,0.00532,1e-15,1e-06,1200.0,0.0,1,2,,0.0
135,0.062175557521950066,0.0549894646963749,0.0,0.0,0.00536,1e-15,1e-06,1200.0,0.0,2,1,,0.0
136,0.00996674979335686,0.006642688332752441,0.0,0.0,0.0054,1e-15,1e-06,1200.0,0.0,5,2,,0.0
137,0.09197219000363212,0.06130225497994101,0.0,0.0,0.00544,1e-15,1e-06,1200.0,0.0,6,1,,0.0
138,0.09928107672386137,0.010626873809849172,0.0,0.0,0.0054800000000000005,1e-15,1e-06,1200.0,0.0,7,2,,0.0
139,0.07061491857522971,0.0605927639495851,0.0,0.0,0.005520000000000001,1e-15,1e-06,1200.0,0.0,8,1,,0.0
140,0.05447579769322566,0.002220614627873971,0.0,0.0,0.005560000000000001,1e-15,1e-06,1200.0,0.0,9,2,,0.0
141,0.05884027318675167,0.024981461342591566,0.0,0.0,0.005600000000000001,1e-15,1e-06,1200.0,0.0,1,1,,0.0
142,0.06612225527626839,0.021458784494952154,0.0,0.0,0.00564,1e-15,1e-06,1200.0,0.0,2,2,,0.0
143,0.06491521415499911,-0.0008029848700920538,0.0,0.0,0.00568,1e-15,1e-06,1200.0,0.0,5,1,,0.0
144,0.06297680792368408,-0.01435217800419566,0.0,0.0,0.00572,1e-15,1e-06,1200.0,0.0,6,2,,0.0
145,0.07660303719933209,-0.02154861239313799,0.0,0.0,0.00576,1e-15,1e-06,1200.0,0.0,7,1,,0.0
146,0.09970341647184373,-0.03729470994626015,0.0,0.0,0.0058000000000000005,1e-15,1e-06,1200.0,0.0,8,2,,0.0
147,0.08713917487427517,-0.025534367236853945,0.0,0.0,0.005840000000000001,1e-15,1e-06,1200.0,0.0,9,1,,0.0
148,0.01613909428137921,0.0005724532576790873,0.0,0.0,0.005880000000000001,1e-15,1e-06,1200.0,0.0,1,2,,0.0
149,0.08411548184935536,-0.026837322410903898,0.0,0.0,0.005920000000000001,1e-15,1e-06,1200.0,0.0,2,1,,0.0
150,0.1005807159880303,-0.03764579443009543,0.0,0.0,0.005960000000000001,1e-15,1e-06,1200.0,0.0,5,2,,0.0
151,0.06414879942439551,0.034312285398801295,0.0,0.0,0.006,1e-15,1e-06,1200.0,0.0,6,1,,0.0
152,0.07106901078409748,-0.005004043469013066,0.0,0.0,0.00604,1e-15,1e-06,1200.0,0.0,7,2,,0.0
153,0.031039874963240458,0.012839451490932293,0.0,0.0,0.00608,1e-15,1e-06,1200.0,0.0,8,1,,0.0
154,0.09184125799466634,-0.026436931594300387,0.0,0.0,0.0061200000000000004,1e-15,1e-06,1200.0,0.0,9,2,,0.0
155,0.058013501666447476,-0.019676043396638303,0.0,0.0,0.0061600000000000005,1e-15,1e-06,1200.0,0.0,1,1,,0.0
156,0.07214289602330969,-0.010149293531480499,0.0,0.0,0.006200000000000001,1e-15,1e-06,1200.0,0.0,2,2,,0.0
157,0.030346564056662747,0.00921493817175554,0.0,0.0,0.006240000000000001,1e-15,1e-06,1200.0,0.0,5,1,,0.0
158,0.03371648935509027,0.002051187227811892,0.0,0.0,0.006280000000000001,1e-15,1e-06,1200.0,0.0,6,2,,0.0
159,0.06004112011572122,-0.0014521060634476715,0.0,0.0,0.00632,1e-15,1e-06,1200.0,0.0,7,1,,0.0
160,0.08695656999142379,-0.00842509223232139,0.0,0.0,0.00636,1e-15,1e-06,1200.0,0.0,8,2,,0.0
161,0.08537231021468818,0.018800549075619802,0.0,0.0,0.0064,1e-15,1e-06,1200.0,0.0,9,1,,0.0
162,0.03823575600447546,0.005060325258218653,0.0,0.0,0.00644,1e-15,1e-06,1200.0,0.0,1,2,,0.0
163,0.09561507791090988,-0.0028691507384026355,0.0,0.0,0.0064800000000000005,1e-15,1e-06,1200.0,0.0,2,1,,0.0
164,0.028932123037599407,0.018036428904662623,0.0,0.0,0.006520000000000001,1e-15,1e-06,1200.0,0.0,5,2,,0.0
165,0.07169366404458039,0.019186501232155227,0.0,0.0,0.006560000000000001,1e-15,1e-06,1200.0,0.0,6,1,,0.0
166,0.07500156413496013,-0.020635721253037326,0.0,0.0,0.006600000000000001,1e-15,1e-06,1200.0,0.0,7,2,,0.0
167,0.09406182058595329,0.04655038467307347,0.0,0.0,0.006640000000000001,1e-15,1e-06,1200.0,0.0,8,1,,0.0
168,0.09131985350537566,0.030910646450183276,0.0,0.0,0.00668,1e-15,1e-06,1200.0,0.0,9,2,,0.0
169,0.09187936242023619,0.02982175681316309,0.0,0.0,0.00672,1e-15,1e-06,1200.0,0.0,1,1,,0.0
170,0.027031398376749387,0.01644634904690658,0.0,0.0,0.00676,1e-15,1e-06,1200.0,0.0,2,2,,0.0
171,0.08655144251100945,0.01713611866995488,0.0,0.0,0.0068000000000000005,1e-15,1e-06,1200.0,0.0,5,1,,0.0
172,0.0763585855433325,0.05889344309369743,0.0,0.0,0.006840000000000001,1e-15,1e-06,1200.0,0.0,6,2,,0.0
173,0.05849934152017457,-0.012372034148139121,0.0,0.0,0.006880000000000001,1e-15,1e-06,1200.0,0.0,7,1,,0.0
174,0.08338649593852826,0.0003664020681042838,0.0,0.0,0.006920000000000001,1e-15,1e-06,1200.0,0.0,8,2,,0.0
175,0.06142715229454183,-0.036048743089398344,0.0,0.0,0.006960000000000001,1e-15,1e-06,1200.0,0.0,9,1,,0.0
176,0.05934169135233607,0.01719808802121326,0.0,0.0,0.007,1e-15,1e-06,1200.0,0.0,1,2,,0.0
177,0.08752629076675011,0.01390320612710808,0.0,0.0,0.00704,1e-15,1e-06,1200.0,0.0,2,1,,0.0
178,0.0547078983355056,0.003188967822408935,0.0,0.0,0.00708,1e-15,1e-06,1200.0,0.0,5,2,,0.0
179,0.05624418660892005,0.011133187392704367,0.0,0.0,0.0071200000000000005,1e-15,1e-06,1200.0,0.0,6,1,,0.0
180,0.036222146211464815,0.020084916255850675,0.0,0.0,0.0071600000000000006,1e-15,1e-06,1200.0,0.0,7,2,,0.0
181,0.0957826554944778,0.00025968455619505154,0.0,0.0,0.007200000000000001,1e-15,1e-06,1200.0,0.0,8,1,,0.0
182,0.040712218280296975,0.002618140743928355,0.0,0.0,0.007240000000000001,1e-15,1e-06,1200.0,0.0,9,2,,0.0
183,0.09301869748822704,-0.016743940356059802,0.0,0.0,0.007280000000000001,1e-15,1e-06,1200.0,0.0,1,1,,0.0
184,0.06520547563834476,0.014307788288909305,0.0,0.0,0.007320000000000001,1e-15,1e-06,1200.0,0.0,2,2,,0.0
185,0.07741500191805857,-0.008975850020779493,0.0,0.0,0.00736,1e-15,1e-06,1200.0,0.0,5,1,,0.0
186,0.09450829034028964,0.05675951145044105,0.0,0.0,0.0074,1e-15,1e-06,1200.0,0.0,6,2,,0.0
187,0.08780527865190882,0.011116798754904445,0.0,0.0,0.00744,1e-15,1e-06,1200.0,0.0,7,1,,0.0
188,0.07479384342896261,-0.022634404555044067,0.0,0.0,0.0074800000000000005,1e-15,1e-06,1200.0,0.0,8,2,,0.0
189,0.03095062609671761,0.02002653850693956,0.0,0.0,0.007520000000000001,1e-15,1e-06,1200.0,0.0,9,1,,0.0
190,0.08287093159047354,0.03014898560641393,0.0,0.0,0.007560000000000001,1e-15,1e-06,1200.0,0.0,1,2,,0.0
191,0.09100720806397565,0.05915686034868203,0.0,0.0,0.007600000000000001,1e-15,1e-06,1200.0,0.0,2,1,,0.0
192,0.0716900481617237,-0.030894516313700975,0.0,0.0,0.007640000000000001,1e-15,1e-06,1200.0,0.0,5,2,,0.0
193,0.0952777119643092,-0.03539533265895146,0.0,0.0,0.007680000000000001,1e-15,1e-06,1200.0,0.0,6,1,,0.0
194,0.0827324467965284,-0.006094518341198285,0.0,0.0,0.00772,1e-15,1e-06,1200.0,0.0,7,2,,0.0
195,0.003990173995640804,0.007012849436667927,0.0,0.0,0.00776,1e-15,1e-06,1200.0,0.0,8,1,,0.0
196,0.054510381599011164,0.03524303334245134,0.0,0.0,0.0078000000000000005,1e-15,1e-06,1200.0,0.0,9,2,,0.0
197,0.015721952866538214,0.0028611862889369333,0.0,0.0,0.007840000000000001,1e-15,1e-06,1200.0,0.0,1,1,,0.0
198,0.06282989866641395,-0.01172355317132454,0.0,0.0,0.00788,1e-15,1e-06,1200.0,0.0,2,2,,0.0
199,0.06932315438712203,0.008039057400440204,0.0,0.0,0.00792,1e-15,1e-06,1200.0,0.0,5,1,,0.0
200,0.1010973130708596,0.05169503622000463,0.0,0.0,0.00796,1e-15,1e-06,1200.0,0.0,6,2,,0.0
201,0.06989412352240024,0.025112908270258846,0.0,0.0,0.008,1e-15,1e-06,1200.0,0.0,7,1,,0.0
202,0.06103828029567167,-0.016086538271508466,0.0,0.0,0.00804,1e-15,1e-06,1200.0,0.0,8,2,,0.0
203,0.09978090550965239,0.0062356785691581925,0.0,0.0,0.00808,1e-15,1e-06,1200.0,0.0,9,1,,0.0
204,0.09752999277330461,0.0358638756530357,0.0,0.0,0.00812,1e-15,1e-06,1200.0,0.0,1,2,,0.0
205,0.1011938400971193,0.04032864575555536,0.0,0.0,0.00816,1e-15,1e-06,1200.0,0.0,2,1,,0.0
206,0.032779598277759024,0.005174464340713655,0.0,0.0,0.0082,1e-15,1e-06,1200.0,0.0,5,2,,0.0
207,0.04885212505052523,0.018491876224046643,0.0,0.0,0.00824,1e-15,1e-06,1200.0,0.0,6,1,,0.0
208,0.08082510858311395,0.0043393351211421915,0.0,0.0,0.008280000000000001,1e-15,1e-06,1200.0,0.0,7,2,,0.0
209,0.07276898556021424,-0.026256112893310212,0.0,0.0,0.008320000000000001,1e-15,1e-06,1200.0,0.0,8,1,,0.0
210,0.05452635645277225,-0.03015669634626901,0.0,0.0,0.008360000000000001,1e-15,1e-06,1200.0,0.0,9,2,,0.0
211,0.06442526523792201,0.04701363776714029,0.0,0.0,0.008400000000000001,1e-15,1e-06,1200.0,0.0,1,1,,0.0
212,0.0816533095818884,0.02962215596185648,0.0,0.0,0.008440000000000001,1e-15,1e-06,1200.0,0.0,2,2,,0.0
213,0.07197766243454932,-0.021623755396609896,0.0,0.0,0.008480000000000001,1e-15,1e-06,1200.0,0.0,5,1,,0.0
214,0.06319220122530195,0.05946102916240345,0.0,0.0,0.008520000000000002,1e-15,1e-06,1200.0,0.0,6,2,,0.0
215,0.06164006269308542,0.012813909861565843,0.0,0.0,0.00856,1e-15,1e-06,1200.0,0.0,7,1,,0.0
216,0.07613771148252359,0.042054377210181716,0.0,0.0,0.0086,1e-15,1e-06,1200.0,0.0,8,2,,0.0
217,0.09601888723250841,0.011953434920375962,0.0,0.0,0.00864,1e-15,1e-06,1200.0,0.0,9,1,,0.0
218,0.05622404833413024,-0.024789233063034773,0.0,0.0,0.00868,1e-15,1e-06,1200.0,0.0,1,2,,0.0
